ID,Image Name,Detection Time,Target Count,Detection Details
81,IP004000444.jpg,2026-04-15 13:13:49,1,三化螟(57.4%)
80,IP015000345.jpg,2026-04-15 13:12:26,1,蝼蛄(72.2%)
79,IP000000322.jpg,2026-04-15 12:01:54,1,稻纵卷叶螟(79.7%)
78,IP021000427.jpg,2026-04-15 12:01:21,1,柑橘凤蝶(53.5%)
77,IP021000427.jpg,2026-04-15 12:01:14,1,柑橘凤蝶(53.5%)
76,IP016000406.jpg,2026-04-14 15:15:17,1,金针虫(81.1%)
75,IP000000322.jpg,2026-04-14 15:05:40,1,稻纵卷叶螟(79.7%)
74,IP004000444.jpg,2026-04-14 15:04:42,1,三化螟(57.4%)
73,IP004000444.jpg,2026-04-14 15:04:35,1,三化螟(57.4%)
72,IP021000114.jpg,2026-04-14 15:04:22,2,红蜘蛛(41.9%); 柑橘凤蝶(30.6%)
71,IP021000114.jpg,2026-04-14 15:04:20,2,红蜘蛛(41.9%); 柑橘凤蝶(30.6%)
70,IP021000114.jpg,2026-04-14 15:04:17,2,红蜘蛛(41.9%); 柑橘凤蝶(30.6%)
69,IP021000114.jpg,2026-04-14 15:04:14,2,红蜘蛛(41.9%); 柑橘凤蝶(30.6%)
68,IP001000078.jpg,2026-04-14 14:58:16,2,稻螟蛉(92.5%); 稻螟蛉(88.9%)
67,IP025000221.jpg,2026-04-14 14:53:47,1,稻水象甲(57.1%)
66,IP015000413.jpg,2026-04-14 14:44:07,1,蝼蛄(81.9%)
65,IP024001097.jpg,2026-04-14 14:28:32,1,蚜虫(73.5%)
64,IP004000444.jpg,2026-04-14 14:18:02,1,三化螟(57.4%)
63,IP004000444.jpg,2026-04-14 14:17:52,1,三化螟(57.4%)
62,IP024002840.jpg,2026-04-14 14:17:32,8,蚜虫(79.1%); 蚜虫(72.9%); 蚜虫(71.9%); 蚜虫(59.0%); 蚜虫(54.1%); 蚜虫(50.8%); 蚜虫(49.1%); 蚜虫(43.2%)
61,IP038000483.jpg,2026-04-14 13:49:44,1,跳甲(74.6%)
60,IP020000309.jpg,2026-04-14 13:48:46,1,大地老虎(48.9%)
59,IP014000845.jpg,2026-04-14 13:47:48,4,蛴螬(76.2%); 蛴螬(74.5%); 蛴螬(72.5%); 蛴螬(62.7%)
58,IP014000731.jpg,2026-04-14 13:42:06,1,蛴螬(81.0%)
57,IP021000114.jpg,2026-04-14 13:41:49,2,红蜘蛛(41.9%); 柑橘凤蝶(30.6%)
56,IP000000322.jpg,2026-04-14 13:28:54,1,稻纵卷叶螟(79.7%)
55,IP003000587.jpg,2026-04-14 13:28:47,1,亚洲玉米螟(76.2%)
54,IP003000587.jpg,2026-04-14 13:28:36,1,亚洲玉米螟(76.2%)
53,IP016000573.jpg,2026-04-14 13:28:20,1,金针虫(78.9%)
52,IP016000573.jpg,2026-04-14 13:28:15,1,金针虫(78.9%)
51,IP024000656.jpg,2026-04-14 13:18:20,3,蚜虫(56.2%); 蚜虫(53.1%); 蚜虫(51.2%)
50,IP102004377.jpg,2026-04-14 13:07:57,1,叶蝉(80.7%)
49,IP096000090.jpg,2026-04-14 13:07:36,1, 青蛾蜡蝉(91.6%)
48,IP100000398.jpg,2026-04-14 13:07:03,1,西班牙绿芜菁/斑蝥(25.9%)
47,IP051000235.jpg,2026-04-14 13:05:49,1,豆斑蝥(51.7%)
46,IP051000235.jpg,2026-04-14 13:05:25,1,豆斑蝥(51.7%)
45,IP015001490.jpg,2026-04-14 12:57:58,1,蝼蛄(76.3%)
44,IP015001490.jpg,2026-04-14 12:42:40,1,蝼蛄(76.3%)
43,IP020000309.jpg,2026-04-14 12:42:07,1,大地老虎(48.9%)
42,IP024001314.jpg,2026-04-08 13:31:46,1,蚜虫(84.8%)
36,IP000000564.jpg,2026-04-08 07:05:38,1,稻纵卷叶螟(81.9%)
35,IP015000040.jpg,2026-04-07 10:06:21,1,蝼蛄(75.6%)
34,IP014000845.jpg,2026-04-07 02:50:25,4,蛴螬(76.2%); 蛴螬(74.5%); 蛴螬(72.5%); 蛴螬(62.7%)
33,IP000000544.jpg,2026-04-07 02:44:46,1,稻纵卷叶螟(80.2%)
32,IP038000453.jpg,2026-04-07 01:57:47,2,跳甲(83.2%); 跳甲(76.9%)
30,IP010000561.jpg,2026-03-10 10:17:58,1,稻水象甲(82.7%)
29,IP003000544.jpg,2026-03-10 10:05:37,1,亚洲玉米螟(77.3%)
28,IP005000012.jpg,2026-03-10 10:04:36,1,稻瘿蚊(68.2%)
