epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,975.751,1.41881,3.12519,1.70768,0.5041,0.2453,0.22978,0.12971,1.50365,2.06908,1.99736,0.00999547,0.00333182,0.00999547,0.00333182,0.00999547,0.00333182,0.00999547,0.00333182
2,1697.43,1.41421,2.39279,1.65951,0.53261,0.25853,0.25129,0.14155,1.56101,2.01487,1.99945,0.0198635,0.00662117,0.0198635,0.00662117,0.0198635,0.00662117,0.0198635,0.00662117
3,2352.22,1.47611,2.52553,1.69393,0.52646,0.24333,0.22901,0.12735,1.5727,2.24993,2.01205,0.0295995,0.00986651,0.0295995,0.00986651,0.0295995,0.00986651,0.0295995,0.00986651
4,2983.13,1.49466,2.57362,1.69798,0.68647,0.23123,0.28786,0.16841,1.48201,1.93561,1.92533,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3615.15,1.43276,2.34462,1.6479,0.42044,0.34136,0.31053,0.18072,1.43001,1.79921,1.86711,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4901.48,1.40176,2.17823,1.6134,0.49,0.42419,0.37653,0.22776,1.42621,1.63189,1.84096,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5542.42,1.37215,2.06335,1.58466,0.48693,0.43675,0.41542,0.25067,1.38082,1.53581,1.79907,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,6177.48,1.35178,1.96824,1.56921,0.46796,0.44038,0.41777,0.25177,1.39102,1.48936,1.80776,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,6807.46,1.33435,1.87989,1.55182,0.53758,0.43361,0.46037,0.28686,1.36637,1.37372,1.77065,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,7438.17,1.31477,1.84135,1.53627,0.43459,0.52588,0.50141,0.31229,1.35079,1.37464,1.74605,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,8066.59,1.30348,1.77668,1.53046,0.43868,0.51428,0.49606,0.30393,1.34534,1.33424,1.74746,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,8695.34,1.28976,1.72816,1.51603,0.51132,0.51806,0.53586,0.33473,1.32156,1.27641,1.72269,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,9326.75,1.28667,1.69944,1.51596,0.52718,0.49378,0.51763,0.32802,1.31595,1.29383,1.7158,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,9955.08,1.27472,1.65081,1.51027,0.48104,0.56566,0.54262,0.34285,1.31132,1.20439,1.70313,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,10583.7,1.26635,1.6266,1.50024,0.58618,0.50892,0.54938,0.34608,1.30951,1.20981,1.70589,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,11212.1,1.25834,1.5865,1.49319,0.42411,0.63115,0.57975,0.36561,1.30845,1.19726,1.71053,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,632.152,1.25192,1.55854,1.4903,0.57722,0.53857,0.58716,0.37793,1.31031,1.1607,1.69875,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1263.92,1.24741,1.54111,1.48374,0.55315,0.56565,0.61877,0.39898,1.30436,1.12301,1.69596,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1889.23,1.24088,1.51646,1.47773,0.53528,0.58808,0.60128,0.38455,1.29864,1.12746,1.68752,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2514.19,1.23065,1.4842,1.47074,0.51819,0.62486,0.61605,0.39393,1.30211,1.08453,1.68685,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3144.13,1.22218,1.46592,1.46473,0.51049,0.64354,0.61891,0.39573,1.29588,1.08321,1.68373,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3777.09,1.21865,1.44283,1.46192,0.53762,0.6359,0.61837,0.3944,1.28558,1.07918,1.67469,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4410.45,1.209,1.41806,1.45424,0.55584,0.58251,0.61945,0.40684,1.28565,1.06479,1.67576,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,5045.88,1.2086,1.39865,1.45256,0.51417,0.65295,0.63678,0.4046,1.28919,1.0555,1.68208,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,5679.01,1.20182,1.37417,1.44669,0.50909,0.65591,0.64347,0.4149,1.28777,1.05267,1.68176,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,6313.36,1.1917,1.36778,1.43985,0.53857,0.66541,0.6575,0.42355,1.28453,1.03046,1.67746,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,6949.4,1.183,1.3401,1.43575,0.55875,0.63727,0.64702,0.41928,1.28409,1.0252,1.68219,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
